Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,88.094002,99.760002,88.000000,95.629997,95.629997,502796500
2020-01-13,98.699997,109.482002,98.400002,102.099998,102.099998,541242000
2020-01-20,106.050003,118.900002,105.681999,112.963997,112.963997,415885500
2020-01-27,108.398003,130.600006,107.856003,130.113998,130.113998,439615500
2020-02-03,134.738007,193.798004,134.703995,149.613998,149.613998,1067702000
2020-02-10,160.000000,163.998001,147.000000,160.005997,160.005997,451961000
2020-02-17,168.320007,188.955994,166.472000,180.199997,180.199997,368772000
2020-02-24,167.800003,172.699997,122.304001,133.598007,133.598007,477048000
2020-03-02,142.251999,161.395996,136.854004,140.695999,140.695999,422718000
2020-03-09,121.078003,133.600006,100.400002,109.323997,109.323997,437700000
2020-03-16,93.900002,98.973999,70.101997,85.505997,85.505997,633756500
2020-03-23,86.720001,112.000000,82.099998,102.872002,102.872002,461652500
2020-03-30,102.052002,108.592003,89.279999,96.001999,96.001999,337468100
2020-04-06,102.239998,115.036003,99.592003,114.599998,114.599998,59127600
2020-04-13,118.031998,154.990005,116.106003,150.778000,150.778000,110415000
2020-04-20,146.539993,153.113998,134.757996,145.029999,145.029999,75654800
2020-04-27,147.522003,173.964005,136.608002,140.264008,140.264008,113123100
2020-05-04,140.199997,164.800003,139.600006,163.884003,163.884003,75009800
2020-05-11,158.102005,168.658005,152.660004,159.834000,159.834000,75692600
2020-05-18,165.556000,166.944000,159.199997,163.376007,163.376007,50886000
2020-05-25,166.899994,167.000000,157.000000,167.000000,167.000000,38707300
2020-06-01,171.600006,181.731995,170.820007,177.132004,177.132004,53154200
2020-06-08,183.800003,205.496002,181.832001,187.056000,187.056000,76773000
2020-06-15,183.557999,203.839996,181.699997,200.179993,200.179993,58049300
2020-06-22,199.990005,202.399994,187.429993,191.947998,191.947998,41796700
2020-06-29,193.802002,245.600006,189.703995,241.731995,241.731995,56521900
2020-07-06,255.337997,309.783997,253.207993,308.929993,308.929993,384631000
2020-07-13,331.799988,358.997986,286.200012,300.167999,300.167999,512010500
2020-07-20,303.802002,337.799988,273.308014,283.399994,283.399994,455824500
2020-07-27,287.000000,312.940002,282.600006,286.152008,286.152008,305761500
2020-08-03,289.839996,305.481995,283.002014,290.541992,290.541992,185455000
2020-08-10,289.600006,333.760010,273.000000,330.141998,330.141998,355249000
2020-08-17,335.399994,419.097992,334.566010,409.996002,409.996002,455117500
2020-08-24,425.256012,463.697998,385.503998,442.679993,442.679993,443680500
2020-08-31,444.609985,502.489990,372.019989,418.320007,418.320007,502587900
2020-09-07,356.000000,398.989990,329.880005,372.720001,372.720001,340579600
2020-09-14,380.950012,461.940002,373.299988,442.149994,442.149994,415784100
2020-09-21,453.130005,455.679993,351.299988,407.339996,407.339996,447901400
2020-09-28,424.619995,448.880005,411.600006,415.089996,415.089996,270256000
2020-10-05,423.350006,439.000000,406.049988,434.000000,434.000000,206343600
2020-10-12,442.000000,465.899994,436.600006,439.670013,439.670013,189748500
2020-10-19,446.239990,447.000000,407.380005,420.630005,420.630005,174024800
2020-10-26,411.630005,430.500000,379.109985,388.040009,388.040009,141543700
2020-11-02,394.000000,440.000000,392.299988,429.950012,429.950012,145636400
2020-11-09,439.500000,452.500000,396.029999,408.500000,408.500000,122101100
2020-11-16,408.929993,508.609985,404.089996,489.609985,489.609985,261353500
2020-11-23,503.500000,598.780029,501.790009,585.760010,585.760010,190400100
2020-11-30,602.210022,607.799988,541.210022,599.039978,599.039978,223114900
2020-12-07,604.919983,654.320007,566.340027,609.989990,609.989990,305424100
2020-12-14,619.000000,695.000000,605.000000,695.000000,695.000000,417756300
2020-12-21,666.239990,668.500000,614.229980,661.770020,661.770020,165799900
2020-12-28,674.510010,718.719971,655.000000,705.669983,705.669983,147606300
2021-01-04,719.460022,744.489990,717.190002,729.770020,729.770020,48533300
2021-01-05,723.659973,740.835022,719.200012,735.109985,735.109985,29605301
